id,A_correct,A_predicted,A_n_tool_calls,B_correct,B_predicted,B_n_tool_calls,C_correct,C_predicted,C_n_tool_calls,D_correct,D_predicted,D_n_tool_calls,E_correct,E_predicted,E_n_tool_calls,B_prime_correct,B_prime_predicted,B_prime_n_tool_calls
addiction_medicine_001,False,0.326,0,True,0.00016916494929006083,4,False,3.0,0,True,0.0,4,True,0.00093,0,True,0.00016916494929006083,4
addiction_medicine_002,True,5.0,0,False,6.0,0,True,5.0,0,True,5.0,0,True,5.0,0,True,5.0,4
addiction_medicine_003,True,22.0,0,True,22.0,0,True,22.0,0,True,22.0,0,True,22.0,0,True,22.0,4
addiction_medicine_004,True,30.0,0,True,30.0,0,True,30.0,0,True,30.0,0,True,30.0,0,True,30.0,4
addiction_medicine_005,False,730.0,0,True,731.0,0,False,730.0,0,True,731.0,0,True,731.0,0,True,731.0,4
addiction_medicine_006,True,9.0,0,True,9.0,0,True,9.0,0,False,-10.0,0,False,3.0,0,True,9.0,4
addiction_medicine_007,False,0.72,0,False,8.0,0,False,0.0,0,False,19.8,0,False,20.625,0,True,97.1,4
bmi_001,True,26.6,0,True,26.5625,0,True,26.5625,0,True,26.56,0,True,26.6,0,True,26.6,4
bmi_002,False,68.0,0,False,15.0,4,False,15.0,4,False,15.0,4,False,15.0,4,False,15.0,4
bmi_003,True,30.84,0,True,30.85,0,True,30.85,0,True,30.85,0,True,30.85,0,False,30.8,4
bmi_004,True,2.0,0,False,1.0,0,True,2.0,0,True,2.0,0,True,2.0,0,False,3.0,4
bmi_005,True,30.64,0,True,30.64,0,True,30.64,0,True,30.64,0,True,30.64,0,True,30.64,4
bmi_006,True,20.57,0,True,20.58,4,True,20.57,0,True,20.57,0,True,20.57,0,True,20.58,4
body_measurements_001,False,0.024265,0,False,1.65,0,True,1.7923,4,True,1.7923,4,True,1.7923,4,True,1.7923,4
body_measurements_002,False,64.1,0,False,64.06,0,False,64.06,0,False,64.06,0,False,64.1,0,True,65.6488,4
body_measurements_003,True,0.0798,0,False,0.139,0,False,0.04,0,True,0.0798,4,True,0.0798,4,True,0.0798,4
body_measurements_004,True,21.18,0,True,21.18,0,True,21.18,0,True,21.18,0,True,21.18,0,True,21.2,4
body_measurements_005,False,11.3,0,True,18.79,4,True,18.79,4,False,1.0,0,False,1.0,0,True,18.79,4
body_measurements_006,True,60.1,0,False,49.3,0,True,60.1,0,True,60.1,0,True,60.1,0,True,60.098,4
