,B',B'+E (upfront),B'+E (reactive),B'+E (reactive + citations),B'+E (reactive + k-shot)
addiction_medicine_calculators,0.612,0.653,0.653,0.633,0.673
bmi_calculators,0.524,0.619,0.571,0.571,0.524
body_measurements_calculators,0.783,0.783,0.783,0.783,0.783
cardiovascular_system_calculators,0.807,0.789,0.807,0.798,0.763
diabetes_calculators,0.967,1.0,0.9,0.967,0.967
dietary_calculators,0.598,0.586,0.632,0.586,0.609
digestive_system_calculators,0.704,0.778,0.704,0.704,0.741
dosage_calculators,0.521,0.562,0.521,0.548,0.493
electrolytes_fluids_calculators,0.831,0.831,0.846,0.831,0.846
epidemiology_calculators,0.571,0.571,0.571,0.619,0.571
geriatric_medicine_calculators,0.417,0.5,0.5,0.5,0.458
gynecology_pregnancy_calculators,0.594,0.573,0.594,0.562,0.615
hematology_calculators,0.889,0.944,0.917,0.944,0.931
intensive_emergency_care_calculators,0.771,0.771,0.792,0.792,0.771
metabolic_disorders_calculators,0.714,0.667,0.619,0.667,0.667
other_calculators,0.667,0.63,0.667,0.704,0.63
pediatric_calculators,0.59,0.615,0.59,0.615,0.59
pediatric_dosage_calculators,0.882,0.941,0.882,0.941,0.882
percentile_calculators,0.812,0.938,0.875,0.875,0.875
psychiatry_psychology_calculators,0.8,0.8,0.8,0.8,0.733
pulmonary_calculators,0.754,0.719,0.754,0.754,0.772
radiology_calculators,0.667,0.667,0.583,0.583,0.75
sleep_calculators,0.667,0.611,0.556,0.667,0.611
urology_nephrology_calculators,0.912,0.912,0.93,0.93,0.93
