id,category,expected_calculator,primary_field,tolerance,expected,predicted,correct,parse_failed,n_tool_calls,n_model_calls,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,stop_reason,adapter_error,n_verifier_fires,n_fixes_applied,violations_history,extracted_facts,citation_reports,voting_reports,extractor_prompt_tokens,extractor_completion_tokens,extractor_elapsed_s,qwen3_prompt_tokens,qwen3_completion_tokens,qwen3_elapsed_s,primary_prompt_tokens,primary_completion_tokens,primary_elapsed_s,verifier_prompt_tokens,verifier_completion_tokens,verifier_elapsed_s,raw_output
addiction_medicine_001,addiction_medicine_calculators,bac_calculator_blood_alcohol_content,bac,0.01,0.00033474645030425967,0.00016916494929006083,True,False,4,5,25010,4714,29724,239.34119582176208,stop,,0,4,[],"{""bac"": 0.04782, ""alcohol_weight"": 47.34, ""bac_percentage"": 0.04782, ""bac_permille"": 0.4782, ""time_until_sober_hours"": 3.188, ""time_until_sober_minutes"": 191.28, ""legal_limit"": 0.03, ""above_legal_limit"": true, ""chart_data"": [{""time_hours"": 0, ""bac"": 0.09282}, {""time_hours"": 0.5, ""bac"": 0.08532}, {""time_hours"": 1, ""bac"": 0.07782}, {""time_hours"": 1.5, ""bac"": 0.07032}, {""time_hours"": 2, ""bac"": 0.06282}, {""time_hours"": 2.5, ""bac"": 0.05532}, {""time_hours"": 3, ""bac"": 0.04782}, {""time_hours"": 3.5, ""bac"": 0.04032}, {""time_hours"": 4, ""bac"": 0.03282}, {""time_hours"": 4.5, ""bac"": 0.02532}, {""time_hours"": 5, ""bac"": 0.01782}, {""time_hours"": 5.5, ""bac"": 0.01032}, {""time_hours"": 6, ""bac"": 0.00282}, {""time_hours"": 6.188, ""bac"": 0.0}]}",[],[],970,744,11.26739239692688,24040,3970,239.33966708183289,0,0,0.0,0,0,0.0,"{""bac"": 0.00016916494929006083}"
addiction_medicine_002,addiction_medicine_calculators,auditc_calculator_am_i_an_alcoholic,result,0.01,5.0,5.0,True,False,4,5,27782,3570,31352,262.04314637184143,stop,,0,4,[],"{""often"": ""two_to_three_times_week"", ""sex"": ""male"", ""sixdrinks"": ""less_than_monthly"", ""standard"": ""three_to_four""}",[],[],768,61,1.8972835540771484,27014,3509,262.04045128822327,0,0,0.0,0,0,0.0,"{
  ""result"": 5,
  ""risk_category"": ""Moderate"",
  ""message"": ""Your result is 5 points. You are in the moderate risk category. Please keep an eye on your drinking.""
}"
addiction_medicine_003,addiction_medicine_calculators,ciwa_calculator,ciwa_score,0.01,22.0,22.0,True,False,4,5,28798,3032,31830,209.60465788841248,stop,,0,4,[],"{""ciwa_score"": 22, ""severity_category"": ""Severe withdrawal"", ""treatment_recommendation"": ""Pharmacological treatment with benzodiazepines strongly indicated; close monitoring required""}",[],[],1024,60,1.7517611980438232,27774,2972,209.60245871543884,0,0,0.0,0,0,0.0,"{
  ""ciwa_score"": 22,
  ""severity_category"": ""Severe withdrawal"",
  ""treatment_recommendation"": ""Most patients with score >20 require medication""
}"
addiction_medicine_004,addiction_medicine_calculators,pack_year_calculator,pack_year,0.1,30.0,30.0,True,False,4,7,38770,5330,44100,417.8085734844208,stop,,2,6,"[{""tool"": ""medical_calculator_output"", ""arguments"": {""calculator_name"": ""pack_year_calculator"", ""input_data"": {""cigarettes"": 15, ""years"": 20, ""pack_size"": 10}}, ""violations"": [{""field"": ""years"", ""planned"": 20, ""expected"": 0, ""note"": ""case states 0, planned call passes 20""}]}, {""tool"": ""medical_calculator_output"", ""arguments"": {""calculator_name"": ""pack_year_calculator"", ""input_data"": {""cigarettes"": 15, ""years"": 20, ""pack_size"": 10}}, ""violations"": [{""field"": ""years"", ""planned"": 20, ""expected"": 0, ""note"": ""case states 0, planned call passes 20""}]}]","{""cigarettes"": 15, ""pack_size"": 10, ""years"": 0, ""pack_year"": 30, ""cigarettes_in_life"": 109500, ""packs_in_life"": 10950}",[],[],1626,175,5.979996681213379,37144,5155,417.80549216270447,0,0,0.0,0,0,0.0,"{
  ""pack_year"": 30,
  ""cigarettes_in_life"": 109572,
  ""packs_in_life"": 10957.2
}"
addiction_medicine_005,addiction_medicine_calculators,sobriety_calculator,sobriety_days,0.01,731.0,731.0,True,False,4,5,29680,4940,34620,338.60603380203247,stop,,0,4,[],"{""sobriety_days"": 731, ""sobriety_weeks"": 104, ""sobriety_months"": 24, ""sobriety_years"": 2, ""years_months_days"": ""2 years, 0 months, 0 days"", ""weeks_days"": ""104 weeks, 3 days""}",[],[],537,95,2.479405164718628,29143,4845,338.60320687294006,0,0,0.0,0,0,0.0,"{
  ""sobriety_days"": 731,
  ""sobriety_weeks"": 104,
  ""sobriety_months"": 24,
  ""sobriety_years"": 2,
  ""years_months_days"": ""2 years"",
  ""weeks_days"": ""104 weeks, 3 days""
}"
addiction_medicine_006,addiction_medicine_calculators,fagerstrom_test_for_nicotine_dependence_calculator,total,0.01,9.0,9.0,True,False,4,5,26076,2981,29057,203.84055399894714,stop,,0,4,[],"{""smoke"": 1}",[],[],728,14,1.4446749687194824,25348,2967,203.83989644050598,0,0,0.0,0,0,0.0,"{
  ""total"": 9,
  ""dependence_level"": ""Very high"",
  ""message"": ""You likely have a very high level of dependence on nicotine.""
}"
addiction_medicine_007,addiction_medicine_calculators,alcohol_unit_calculator,alcohol_units,0.1,97.1,97.1,True,False,4,5,23709,4191,27900,217.85334706306458,stop,,0,4,[],"{""standard_beer_1"": 4, ""strong_beer_1"": 1, ""standard_wine"": 2, ""alcopop"": 1, ""spirits"": 2, ""mojito"": 1, ""rum_cola"": 1, ""check_more_sizes_VS"": ""yes"", ""drink_volume"": 60, ""drink_proof"": 12, ""alcohol_units_part1"": 15.165, ""alcohol_units_part2"": 4.0, ""custom_drink_alcohol_units"": 0.72, ""alcohol_units"": 19.885}",[],[],930,706,11.647456169128418,22779,3485,217.85251379013062,0,0,0.0,0,0,0.0,"{
  ""alcohol_units"": 97.1,
  ""alcohol_units_part1"": 13.77,
  ""alcohol_units_part2"": 83.3,
  ""custom_drink_alcohol_units"": 72.0
}"
bmi_001,bmi_calculators,bmi_calculator_body_mass_index,bmi,0.1,26.6,26.6,True,False,4,5,24042,3789,27831,250.04558873176575,stop,,0,4,[],"{""bmi"": 26.56, ""bmi_prime"": 1.06, ""category"": ""Overweight"", ""diff_fat"": 4.16}",[],[],607,56,1.7088816165924072,23435,3733,250.0437879562378,0,0,0.0,0,0,0.0,"{
  ""bmi"": 26.6,
  ""bmi_prime"": 1.06,
  ""category"": ""overweight"",
  ""diff_fat"": 4.0,
  ""message"": ""You are overweight. You need to lose at least 4.00 kg to reach a healthy BMI.""
}"
bmi_002,bmi_calculators,bmi_calculator_for_kids,percentile,0.01,5.0,15.0,False,False,4,7,38840,6483,45323,454.03333711624146,stop,,3,6,"[{""tool"": ""medical_calculator_output"", ""arguments"": {""calculator_name"": ""bmi_percentile_calculator"", ""input_data"": {""age"": 81, ""sex"": 1, ""calculate_BMI_option"": ""know_bmi"", ""bmi"": 15.945392}}, ""violations"": [{""field"": ""age"", ""planned"": 81, ""expected"": 6, ""note"": ""case states 6, planned call passes 81""}, {""field"": ""sex"", ""planned"": 1, ""expected"": ""male"", ""note"": ""value type differs from the case (str vs int)""}]}, {""tool"": ""medical_calculator_output"", ""arguments"": {""calculator_name"": ""bmi_percentile_calculator"", ""input_data"": {""age"": 81, ""sex"": 1, ""calculate_BMI_option"": ""know_bmi"", ""bmi"": 15.945392}}, ""violations"": [{""field"": ""age"", ""planned"": 81, ""expected"": 6, ""note"": ""case states 6, planned call passes 81""}, {""field"": ""sex"", ""planned"": 1, ""expected"": ""male"", ""note"": ""value type differs from the case (str vs int)""}, {""field"": ""calculate_BMI_option"", ""planned"": ""know_bmi"", ""expected"": ""calculate_bmi"", ""note"": ""case states 'calculate_bmi', planned call passes 'know_bmi'""}]}, {""tool"": ""medical_calculator_output"", ""arguments"": {""calculator_name"": ""bmi_percentile_calculator"", ""input_data"": {""age"": 81, ""sex"": 1, ""calculate_BMI_option"": ""know_bmi"", ""bmi"": 15.945392}}, ""violations"": [{""field"": ""age"", ""planned"": 81, ""expected"": 6, ""note"": ""case states 6, planned call passes 81""}, {""field"": ""sex"", ""planned"": 1, ""expected"": ""male"", ""note"": ""value type differs from the case (str vs int)""}, {""field"": ""calculate_BMI_option"", ""planned"": ""know_bmi"", ""expected"": ""calculate_bmi"", ""note"": ""case states 'calculate_bmi', planned call passes 'know_bmi'""}]}]","{""age"": 6, ""sex"": ""male"", ""bmi"": 15.945392, ""calculate_BMI_option"": ""calculate_bmi""}",[],[],1842,165,5.464035987854004,36998,6318,454.0318307876587,0,0,0.0,0,0,0.0,"{""percentile"": 15.0, ""bmi"": 15.9454}"
bmi_003,bmi_calculators,bmi_calculator_for_men,bmi,0.01,30.846,30.8,False,False,4,5,22737,4471,27208,259.59645557403564,stop,,0,4,[],"{""bmi"": 30.84, ""bmi_prime"": 1.23, ""category"": ""Obese Class I"", ""category_description"": ""Obesity Class I (Moderately obese). Health risks are increased. Weight loss is recommended through diet and exercise."", ""percentile"": 85, ""percentile_description"": ""This individual's BMI is higher than approximately 85% of adults in the same age group, indicating obesity.""}",[],[],592,121,3.2076680660247803,22145,4350,259.5953471660614,0,0,0.0,0,0,0.0,"{
  ""bmi"": 30.8,
  ""bmi_prime"": 1.23,
  ""category"": ""obese"",
  ""category_description"": ""Obese"",
  ""percentile"": 6,
  ""percentile_description"": ""6th percentile""
}"
