id,category,expected_calculator,primary_field,tolerance,expected,predicted,correct,parse_failed,n_tool_calls,n_model_calls,prompt_tokens,completion_tokens,total_tokens,elapsed_seconds,stop_reason,adapter_error,n_verifier_fires,n_fixes_applied,violations_history,extracted_facts,citation_reports,voting_reports,extractor_prompt_tokens,extractor_completion_tokens,extractor_elapsed_s,qwen3_prompt_tokens,qwen3_completion_tokens,qwen3_elapsed_s,primary_prompt_tokens,primary_completion_tokens,primary_elapsed_s,verifier_prompt_tokens,verifier_completion_tokens,verifier_elapsed_s,raw_output
addiction_medicine_001,addiction_medicine_calculators,bac_calculator_blood_alcohol_content,bac,0.01,0.00033474645030425967,0.00016916494929006083,True,False,4,6,31862,5556,37418,567.3029992580414,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,31338,5300,561.2090334892273,524,256,6.0939459800720215,"{""bac"": 0.00016916494929006083}"
addiction_medicine_002,addiction_medicine_calculators,auditc_calculator_am_i_an_alcoholic,result,0.01,5.0,5.0,True,False,4,6,31573,6081,37654,601.7121615409851,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,31057,5825,596.5800879001617,516,256,5.132059812545776,"{""result"": 5, ""risk_category"": ""Moderate"", ""message"": ""Your result is 5 points. You are in the moderate risk category. Please keep an eye on your drinking.""}"
addiction_medicine_003,addiction_medicine_calculators,ciwa_calculator,ciwa_score,0.01,22.0,22.0,True,False,4,6,30297,4188,34485,525.3601241111755,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,29741,4018,522.1988534927368,556,170,3.1612486839294434,"{
  ""ciwa_score"": 22,
  ""severity_category"": ""Severe withdrawal"",
  ""treatment_recommendation"": ""Most patients with score >20 require medication""
}"
addiction_medicine_004,addiction_medicine_calculators,pack_year_calculator,pack_year,0.1,30.0,30.0,True,False,4,6,26169,4083,30252,500.355685710907,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,25739,3834,494.8048620223999,430,249,5.55080246925354,"{""pack_year"": 30.0, ""cigarettes_in_life"": 109572.0, ""packs_in_life"": 10957.2}"
addiction_medicine_005,addiction_medicine_calculators,sobriety_calculator,sobriety_days,0.01,731.0,731.0,True,False,4,6,28504,4396,32900,516.4704039096832,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,27991,4140,510.9621706008911,513,256,5.508213996887207,"{
  ""sobriety_days"": 731,
  ""sobriety_weeks"": 104,
  ""sobriety_months"": 24,
  ""sobriety_years"": 2,
  ""years_months_days"": ""2 years"",
  ""weeks_days"": ""104 weeks, 3 days""
}"
addiction_medicine_006,addiction_medicine_calculators,fagerstrom_test_for_nicotine_dependence_calculator,total,0.01,9.0,9.0,True,False,4,6,27442,3675,31117,493.005375623703,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,26875,3461,488.2046914100647,567,214,4.800664663314819,"{
  ""total"": 9,
  ""dependence_level"": ""Very high"",
  ""message"": ""You likely have a very high level of dependence on nicotine.""
}"
addiction_medicine_007,addiction_medicine_calculators,alcohol_unit_calculator,alcohol_units,0.1,97.1,97.1,True,False,4,6,25108,4087,29195,528.5086250305176,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,24532,3831,522.7176947593689,576,256,5.790912389755249,"{
  ""alcohol_units"": 97.1,
  ""alcohol_units_part1"": 13.77,
  ""alcohol_units_part2"": 83.3,
  ""custom_drink_alcohol_units"": 72.0
}"
bmi_001,bmi_calculators,bmi_calculator_body_mass_index,bmi,0.1,26.6,26.6,True,False,6,8,35402,4057,39459,822.4160904884338,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,34866,3859,818.2338984012604,536,198,4.182173252105713,"{
  ""bmi"": 26.6,
  ""bmi_prime"": 1.06,
  ""category"": ""overweight"",
  ""percentile"": 6,
  ""diff_thin"": null,
  ""diff_fat"": 4.0,
  ""message"": ""You are overweight. You need to lose at least 4.00 kg to reach a healthy BMI.""
}"
bmi_002,bmi_calculators,bmi_calculator_for_kids,percentile,0.01,5.0,15.0,False,False,4,6,22905,3181,26086,474.8677513599396,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,22435,3162,473.4274814128876,470,19,1.4402499198913574,"{
  ""percentile"": 15.0,
  ""bmi"": 15.9454,
  ""bmi_prime"": 0.637816
}"
bmi_003,bmi_calculators,bmi_calculator_for_men,bmi,0.01,30.846,30.8,False,False,4,6,21953,4293,26246,528.5699892044067,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,21465,4218,526.0423667430878,488,75,2.5276055335998535,"{
  ""bmi"": 30.8,
  ""bmi_prime"": 1.23,
  ""category"": ""obese"",
  ""percentile"": 6,
  ""category_description"": ""Obese (BMI ≥30)""
}"
bmi_004,bmi_calculators,bmi_calculator_for_teens,category,0.01,2.0,3.0,False,False,5,7,36101,5135,41236,708.4873218536377,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,35598,4880,702.6139545440674,503,255,5.873347520828247,"{""category"": 3}"
bmi_005,bmi_calculators,bmi_weight_loss_calculator,weight_diff,0.1,30.64,30.64,True,False,4,6,34798,6563,41361,632.6656119823456,stop,,0,0,[],{},[],[],0,0,0.0,0,0,0.0,34071,6544,631.3917288780212,727,19,1.2738697528839111,"{
  ""weight_diff"": 30.64,
  ""bmi"": 33.0,
  ""bmi_prime"": 1.32,
  ""tar_bmi"": 22.0,
  ""tar_bmi_prime"": 0.9,
  ""tar_mass"": 61.36,
  ""weight_gain"": -30.64,
  ""percentile"": 97,
  ""tar_percentile"": 0,
  ""diff1"": -40.41,
  ""diff2"": 22.28,
  ""bmi_category"": ""obese"",
  ""weight_recommendation"": ""You need to reduce your weight to reach your target BMI.""
}"
